l1,l2,l3,Actual pose x,Actual pose y,Actual pose z,Actual pose roll,Actual pose pitch,Actual pose yaw,IMU roll,IMU pitch,IMU yaw,Pot 1 distance,Pot 2 distance,Pot 3 distance,Pot 4 distance,Pot 5 distance,Pot 6 distance,Estimated pose x,Estimated pose y,Estimated pose z,Estimated pose roll,Estimated pose pitch,Estimated pose yaw
-70.0,-54.44444444444444,-70.0,1.902615750744019,-3.2954271475695123,85.07175939203358,0.09917676293873971,2.5585540965760742,4.43893291147217,-0.01257129505788071,2.7136208558101957,4.277817120301628,119.97789815861789,130.21107340339134,121.80749155161706,138.958390206653,122.50747921295259,128.69928358769607,3,-2,85,0,3,4
-70.0,-54.44444444444444,-54.44444444444444,4.036854288535324,0.0,90.25004039850519,0.0,5.122228053532271,0.0,-0.09051566652444876,5.07564673659686,0.10027697020850004,126.86650254545738,127.41571081869257,126.59645224537017,136.25274158718864,137.3255082389787,124.81401424786388,2,0,91,-2,4,0
-70.0,-54.44444444444444,-38.888888888888886,6.394190268540569,3.691687472791614,95.17415806213357,-0.2995228013275272,7.675612889430914,-4.462730015878743,-0.38655631831817616,7.595906745935803,-4.268747975936993,128.93337663580198,124.42593860796218,131.51039663601983,136.38507708854897,152.20016682993992,121.38988732465994,4,5,95,-2,7,-5
-70.0,-54.44444444444444,-23.333333333333336,8.964286175956772,7.763299555172239,99.80402126850726,-0.8021711196212248,10.203039712066582,-8.967256745453934,-0.7916157495826872,10.276497074671093,-8.915978364216729,130.72581610696218,122.25051122306365,138.8313816154154,137.89122459104732,166.33835362117864,119.8169149465101,9,9,100,-2,10,-8
-70.0,-54.44444444444444,-7.777777777777779,11.735052294584108,12.195424082218494,104.10114603370276,-1.5114072921971335,12.688426767653674,-13.531513055806595,-1.521085379762781,12.601793281670211,-13.618482353524884,132.78451059151115,122.42146431976516,147.04392158932416,139.46410629619578,180.40707982209787,114.19850392679689,11,9,102,1,13,-12
-70.0,-54.44444444444444,7.7777777777777715,14.69272085332804,16.96569267959393,108.02896802650196,-2.4311715747224287,15.115137579255046,-18.173132830864645,-2.5212971569262232,15.198707761713806,-18.1648164018642,136.2917879618964,119.05622475043931,148.74776680086597,144.0581487461533,197.8778814293866,109.69198110368922,12,15,108,-2,15,-18
-70.0,-54.44444444444444,23.33333333333333,17.821933847843468,22.048924938283108,111.5531422768679,-3.565560692839512,17.46586128826641,-22.909134331013384,-3.556344507727748,17.721310656602334,-22.780294545565507,138.00847060568225,115.80617345516568,154.77637415546545,150.34114849077355,214.26873054606077,108.81019308986451,18,24,112,-5,17,-23
-70.0,-54.44444444444444,38.888888888888886,21.105843924071664,27.417295509833252,114.6418276429053,-4.918372119668186,19.72252942058931,-27.755491833269602,-4.823158632217465,19.71948211627261,-27.693745304948813,138.7791146292738,118.56514459178624,157.9657513166833,157.89895867634823,227.1778683195975,106.5100193528341,20,29,116,-5,19,-28
-70.0,-54.44444444444444,54.44444444444444,24.52622760442388,33.04052292244701,117.26595371928299,-6.492498145966878,21.86628701496482,-32.72657237857516,-6.618256928409038,21.76473808783894,-32.74852674419457,137.63884050453024,117.02551711424799,161.33467034805895,162.7954262189759,241.75049225107352,102.04419827032729,22,44,111,-9,20,-33
-70.0,-54.44444444444444,70.0,28.063610036705256,38.88607874189874,119.39946799958304,-8.289162004257927,23.877539765597085,-37.834424521507145,-8.290895952758811,23.709060428761706,-37.54492834945857,137.92770184616725,117.15445043645498,160.85997809220754,173.5284038532938,257.12471722952466,96.79539137440118,-1962,-1885,-291,164,4,172
